Ranking,Cities,Population,Per capita Income
1,"Washington-Arlington-Alexandria, D.C-Virginia-Maryland MSA","5,949,178","$47,411 "
2,"San Jose-Santa Clara-Sunnyvale, California MSA","1,918,944","$40,392 "
3,"Seattle-Tacoma-Bellevue, Washington MSA","3,611,644","$39,322 "
4,"San Francisco-Oakland-Hayward, California MSA","4,122,177","$38,355 "
5,"Boston–Worcester–Lawrence, Massachusetts–New Hampshire–Maine–Connecticut CMSA","5,819,100","$37,311 "
6,"Honolulu, Hawaii MSA","921,000","$36,339 "
7,"Minneapolis-St. Paul-Bloomington, Minnesota MSA","3,478,415","$35,388 "
8,"Hartford, Connecticut MSA","1,183,110","$34,310 "
9,"Denver-Aurora-Lakewood, Colorado MSA","2,871,068","$32,399 "
10,"Portland-Vancouver-Hillsboro, Oregon MSA","2,345,318","$31,377 "
11,"Sarasota–Bradenton, Florida MSA","589,959","$30,344 "
12,"Anchorage, Alaska MSA","260,283","$30,129 "
13,"Baltimore-Towson, Maryland MSA","2,700,000","$29,771 "
14,"New York-Newark-White Plains, New York-New Jersey-Connecticut CMSA","19,278,198","$28,819 "
15,"Atlanta, Georgia MSA","5,544,577","$25,288 "
16,"Madison, Wisconsin MSA","726,526","$25,163 "
17,"Rochester, Minnesota MSA","124,277","$24,939 "
18,"Santa Fe, New Mexico MSA","147,635","$24,745 "
19,"Raleigh–Durham–Chapel Hill, North Carolina MSA","1,187,941","$24,698 "
20,"Fort Myers–Cape Coral, Florida MSA","440,888","$24,542 "
21,"Austin–San Marcos, Texas MSA","2,271,214","$24,516 "
22,"Salt Lake City-Addison-Blue Spring, Utah MSA","1,333,666","$24,277 "
23,"Cleveland-Elyria-Akron, Ohio MSA","3,554,127","$24,275 "
24,"New London–Norwich, Connecticut–Vermont MSA","293,566","$24,225 "
25,"Portland, Maine MSA","243,537","$24,132 "
26,"Nashville-Davidson-Murfreesboro,Tennessee","1,789,712","$23,994 "
27,"Fort Collins–Loveland, Colorado MSA","251,494","$23,689 "
28,"Richmond–Petersburg, Virginia MSA","996,512","$23,685 "
29,"Dallas–Fort Worth, Texas CMSA","8,500,000","$23,616 "
30,"Charlottesville, Virginia MSA","159,576","$23,533 "
